phonemes,ground_truth,prediction
diː baɪdən ʃtɛmə bətɾiːbən friːtlɪçən handəl ʊnt taɪltən zɪç fɛɾʃiːdənə aɾbaɪtən ʊntɜaɪnandɜ aʊf,Die beiden Stämme betrieben friedlichen Handel und teilten sich verschiedene Arbeiten untereinander auf.,Die beiden Städte betrieben friedlichen Handel und teilten sich verschiedene Arbeiten untereinander auf.
jeːdəs ɔpjɛkt kan ɪn ʊntɜʃiːtlɪçən (en)lɛvəl ɒv(de) deːtaɪ foːɾkɔmən,Jedes Objekt kann in unterschiedlichen Level of Detail vorkommen.,Jedes Objekt kann in unterschiedlichen Level of Detei vorkommen.
niːmɑːls,Niemals!,Nimals!
maɡdɑː aɪlt nɑːx haʊzə,Magda eilt nach Hause.,Magda eist nach Hause.
zoː ʃtamt aʊx dɛɾ nɑːmə fɔm lataɪnɪʃən kɔnçɑː ap vas mʊʃəl bədɔøtət,"So stammt auch der Name vom lateinischen ""concha"" ab, was ""Muschel"" bedeutet.","So stammt auch der Name vom Lateinischen Code ab, was Muskel bedeutet."
ɛɾ ɛɾbaʊtə aɪnəs dɛɾ ɡɾœstən karɑːtədoːjoː ɪn dɔøtʃlants ɪm ʃpɔɾtpaɾk friːdɾɪkshɑːfən,Er erbaute eines der größten Karate-Dōjō in Deutschlands im Sportpark Friedrichshafen.,Er erbaute eines der größten Krise in Deutschlands im Sportpark Friedrichhafen.
diː ɪnzuːlɑːnɜ leːbən hɔøtə yːbɜviːɡənt fɔm tuːrɪsmʊs,Die Insulaner leben heute überwiegend vom Tourismus.,Die Insulaner leben heute überwiegend vom Tourismus.
diː dɔøtʊŋ ɪst nɑːx viː fɔɾ ʊmʃtɾɪtən,Die Deutung ist nach wie vor umstritten.,Die Deutung ist nach wie vor Umständen.
ziː hɑːbən niːmɑːls aɪnhalt ɡəboːtən,Sie haben niemals Einhalt geboten.,Sie haben niemals Inhalt geboten.
viː kɔmə ɪç tsʊm muːzeːʊm,Wie komme ich zum Museum?,Wie komme ich zum Museum?
viː laʊtət diː foːɾvɑːl fɔn bɔtɾoːp,Wie lautet die Vorwahl von Bottrop?,Wie lautet die Vorwahl von Bordow?
ɪn pɾɑːk ɛntʃtant viː tsuːfɔɾ aɪnə raɪə fɔn pɔɾtɾɛːts ʊnt reːlɪɡiːøːzən ɡəmɛldən,"In Prag entstand, wie zuvor, eine Reihe von Porträts und religiösen Gemälden.",In Prag entstand wie zuvor eine Reihe von Porträts und religiösen Gemälden.
ɛtʃ,Ätsch!,Etsch!
tsʊm fiːɾtən mɑːl ɪn fɔlɡə ɡəvan frankɛskoː friːdɾɪç deːn vɛltmaɪstɛɾtiːtəl ɪm fiːrɜboːp,Zum vierten Mal in Folge gewann Francesco Friedrich den Weltmeistertitel im Viererbob.,Zum vierten Mal in Folge gewann Franko Friedrich den Weltmeistertitel im Viererbog.
fiːlə planeːtən hɑːbən meːrərə mɔndə,Viele Planeten haben mehrere Monde.,Viele Planeten haben mehrere Monate.
ʊm als pɔɾtɾɛtfoːtoːɡɾɑːf pɾɛstɪɡə tsuː ɛɾlaŋən vɑːrən jeːdɔx ɪnsbeːzɔndərə diː foːtoːɡɾɑfɪʃtɛçnɪʃən fɛɾtɪçkaɪtən ɛntʃaɪdənt,"Um als Porträtfotograf Prestige zu erlangen, waren jedoch insbesondere die fotografisch-technischen Fertigkeiten entscheidend.","Um als Porträtvortrag präzise zu erlangen, waren jedoch insbesondere die theoretisch-technischen Funktionen entscheidend."
ɪm deːtsɛmbɜ vɛɾdən viːɾ jɑː zeːən vas pasiːɾt,"Im Dezember werden wir ja sehen, was passiert.","Im Dezember werden wir ja sehen, was passiert."
diːzəs deːfiːtsɪt ʃpiːɡəlt zɪç aʊx ɪn diːzəm vɛɾk viːdɜ,Dieses Defizit spiegelt sich auch in diesem Werk wider.,Dieses Defizit spiegelt sich auch in diesem Werk wieder.
an dɛɾ kliːnɪk vɛɾdən aʊx hɔøtə nɔx antɾoːpoːzoːfɪʃə aɾtsnaɪmɪtəl hɛɾɡɛʃtɛlt,An der Klinik werden auch heute noch anthroposophische Arzneimittel hergestellt.,An der Klinik werden auch heute noch analogische Arzneimittel hergestellt.
dɛɾ aɪnɡaŋ ɪst d??ç tsvaɪ foːɾʃpɾɪŋəndə fɛlsvɛndə ɡəʃytst,Der Eingang ist durch zwei vorspringende Felswände geschützt.,Der Eingang ist durch zwei vorgeschriebene Feldwände geschützt.
zaɪn kalypzoː viːtaɪ v??də dɔɾt tsʊm yːbɜraʃʊŋshiːt ʊnt zoː aʊx ɪn dɔøtʃlant bəkant,Sein Calypso Whitey wurde dort zum Überraschungs-Hit und so auch in Deutschland bekannt.,Sein Chaos Vitae wurde dort zum Überraschungszug und so auch in Deutschland bekannt.
plɛtsə baɪ dɛɾ tuːɾ deːɪndoːneːziːɑː ʊnt tuːɾ (en)ɒv(de) taɪjuːɑːn rʊndətən das jɑːɾ ap,Plätze bei der Tour d’Indonesia und Tour of Taiyuan rundeten das Jahr ab.,Plätze bei der Tour Deinonia und Tour of Taiwan runden das Jahr ab.
stiːlɪstɪʃ ɪst das ɡəbɔødə dɛɾ tsaɪttyːpɪʃən reːfɔɾmaɾçiːtɛktuːɾ tsuːtsuːɔɾdnən,Stilistisch ist das Gebäude der zeittypischen Reformarchitektur zuzuordnen.,Stilistisch ist das Gebäude der zeittypischen Reformpolitik zuordnen.
dɛɾ (en)sɒŋ(de) tsuːfiːl ɪst aɪn liːt yːbɜ diː ʊnfɛːɪçkaɪt bətsiːʊŋən fɛɾnynftɪç tsuː fyːrən,"Der Song ""Zuviel"" ist ein Lied über die Unfähigkeit, Beziehungen vernünftig zu führen.",Der Song zufiel ist ein Lied über die Unfähigkeit Beziehungen verändert zu führen.
dɔx deːn bəjɑːɾtən maɡiːɾ kɔntə ɛɾ mɪt zaɪnəm ʊnzɪçtbaɾkaɪtsmantəl nɪçt tɔøʃən,Doch den bejahrten Magier konnte er mit seinem Unsichtbarkeitsmantel nicht täuschen.,Doch den bejauerten Maier konnte er mit seinem Unsinnarbeitsmantel nicht töschen.
ɛs blaɪpt aptsuːvaɾtən viː dɛɾ iːrɑːn reːaɡiːɾt,"Es bleibt abzuwarten, wie der Iran reagiert.","Es bleibt abzuwarten, wie der Iran reagiert."
anʃliːsənt ɡɪŋ ɛs mɪt dɛɾ apzənkʊŋ dɛɾ bəʃteːəndən høːənɡlaɪçən kɾɔøtsʊŋən vaɪtɜ,Anschließend ging es mit der Absenkung der bestehenden höhengleichen Kreuzungen weiter.,Anschließend ging es mit der Abnutzung der bestehenden höhengleichen Kreuzungen weiter.
foːɾraŋɪç vɛɾdən zɛltənə kʊlt??sɔɾtən ɡəbʊnkɜt diː fyːɾ lantvɪɾtə ɪn ɛntvɪklʊŋslɛndɜn fɔn bədɔøtʊŋ zɪnt,"Vorrangig werden seltene Kultursorten gebunkert, die für Landwirte in Entwicklungsländern von Bedeutung sind.","Vorrangig werden seltener Kultursorten gekennzeichnet, die für Landwirte in Entwicklungsländern von Bedeutung sind."
diː bɪsheːɾ rɛçt ʊntɜʃiːtlɪçən bɾɔvzəɪntɜfɑːkəs vɛɾdən zoː d??ç aɪn aɪnhaɪtlɪçəs bɾɔvzɪŋ ɛɾzɛtst,Die bisher recht unterschiedlichen Browse-Interfaces werden so durch ein einheitliches Browsing ersetzt.,Die bisher recht unterschiedlichen Bremssysteme werden so durch ein einheitliches Bremsing ersetzt.
dɑːbaɪ zɔlən alə ɪntərɛsən bəryksɪçtɪçt vɛɾdən,Dabei sollen alle Interessen berücksichtigt werden.,Dabei sollen alle Interessen berücksichtigt werden.
ɛɾ bətaɪlɪçtə zɪç an ɡəvɛɾkʃaftlɪçən ʊnt fɔlksvɪɾtʃaftlɪçən leːɾɡɛŋən dɛɾ ʃuːlə ɪn køːnɪçsvɪntɜ,Er beteiligte sich an gewerkschaftlichen und volkswirtschaftlichen Lehrgängen der Schule in Königswinter.,Er beteiligte sich an gewirtschaftlichen und volkswirtschaftlichen Lehrgängen der Schule in Königswinter.
rʊɡbiː uːnjoːn ɪst dɛɾ iːnɔfiːtsjɛlə natsjoːnɑːlspɔɾt nɔøzeːlants,Rugby Union ist der inoffizielle Nationalsport Neuseelands.,Rumbia Union ist der ihnenofische Nationalsport Neuseelands.
aɪn tɾɔpfən øːl bəvɪɾkt mançmɑːl vʊndɜ,Ein Tropfen Öl bewirkt manchmal Wunder.,Ein truppen Öl bewirkt manchmal Wunden.
ɑːbɜ diː masən zɪnt ʃoːn aʊf deːm rɪçtɪɡən veːk,Aber die Massen sind schon auf dem richtigen Weg.,Aber die Maßnahmen sind schon auf dem richtigen Weg.
baɪdə rɪçtliːnɪən tsuːɾ nɪçtdɪskɾiːmiːniːrʊŋ zɪnt ɡɾʊndleːɡəndə ɔøroːpɛːɪʃə rɛçtsfoːɾʃrɪftən,Beide Richtlinien zur Nichtdiskriminierung sind grundlegende europäische Rechtsvorschriften.,Beide Richtlinien zur Nichtdisziplinierung sind grundlegende europäische Rechtsvorschriften.
diːs vɑːɾ dɛɾ bɪsheːɾ ɡɾœstə bœɾzənɡaŋ an dɛɾ bœɾzə fɔn teːl ɑviːf,Dies war der bisher größte Börsengang an der Börse von Tel Aviv.,Dies war der bisher größte Besitzergang an der Börse von Tel Aviv.
bɪoːɛnɜɡiː zɔnənɛnɜɡiː ʊnt vɪntkɾaft mysən ɪm mɪtəlpʊŋkt ʃteːən,"Bioenergie, Sonnenenergie und Windkraft müssen im Mittelpunkt stehen.","Bioenergie, Sonnenenergie und Windkraft müssen im Mittelpunkt stehen."
toːmɑːs laɪstətə tsiːvɪldiːnst als pfleːɡɜ ɪn aɪnəm altənhaɪm ap,Thomas leistete Zivildienst als Pfleger in einem Altenheim ab.,Thomas leitete Zivildienst als Pfarrer in einem Altenheim ab.
dɑː ɡiːpt ɛs aɪnən ʊntɜʃiːt,Da gibt es einen Unterschied.,Da gibt es einen Unterschied.
fɔn haɪmveː ɡəplɑːkt keːɾt ɛɾ jeːdɔx nɑːx aɪnɜ vaɪlə viːdɜ tsuːryk,"Von Heimweh geplagt, kehrt er jedoch nach einer Weile wieder zurück.","Von Heimwe geparkt, kehrt er jedoch nach einer weiße wieder zurück."
ɑːbɜ naɪn aɪnɪɡə mɪtɡliːtstɑːtən hɑːbən das aɪnfax nɪçt bəɡɾɪfən,"Aber nein, einige Mitgliedstaaten haben das einfach nicht begriffen.",Aber kein einige Mitgliedstaaten haben das einfach nicht begriffen.
kɾɪstɔf ɛɾhiːlt ɪn ʃpaɪɜ ʊnt fraɪb??k aɪnə ʊmfasəndə ʃuːlbɪldʊŋ,Christoph erhielt in Speyer und Freiburg eine umfassende Schulbildung.,Christoph erhielt in Speyer und Frankfurt eine umfassende Schulbildung.
jeː nɑːx ɑːɾt dɛs vɛɾkəs kan diː hɛɾkʊnft ʊntɜʃiːtlɪç doːkuːməntiːɾt zaɪn,Je nach Art des Werkes kann die Herkunft unterschiedlich dokumentiert sein.,Je nach Art des Werkes kann die Herkunft unterschiedlich dokumentiert sein.
aʊf deːn dɛçɜn dɛs tɛmpəls zɪnt klaɪnə pɔɾtsəlanfɪɡuːrən anɡəɔɾdnət,Auf den Dächern des Tempels sind kleine Porzellanfiguren angeordnet.,Auf den Dächern des Tempels sind kleine Porzellanfarben angeordnet.
apʃliːsənt nɔx tsvaɪ k??tsə frɑːɡən an deːn rɑːt,Abschließend noch zwei kurze Fragen an den Rat.,Abschließend noch zwei kurze Fragen an den Rat.
tsuːdeːm tsiːən bandən d??ç diː vɛlt diː diː andərən mɛnʃən ʊntɜdɾykən,"Zudem ziehen Banden durch die Welt, die die anderen Menschen unterdrücken.","Zudem ziehen Banden durch die Welt, die die anderen Menschen unterdrücken."
diːs bəɛndətə aʊx diː bəʃɛftɪɡʊŋ baɪm fɛɾnzeːən,Dies beendete auch die Beschäftigung beim Fernsehen.,Dies beendete auch die Beschäftigung beim Fernsehen.
ɪm ɔktoːbɜ tɾɑːt ɛɾ ɪm ʃpɑnɪʃən vɑlənkiːɑː ɪm halbmaratoːn an,Im Oktober trat er im spanischen Valencia im Halbmarathon an.,Im Oktober trat er im spanischen Wahlenland im Halbmarathon an.
dɛɾ dɪkə ɛntʃpɾɪçt diː nɔøtsaɪtlɪçə jʊstiːtiːɑː,Der Dike entspricht die neuzeitliche Justitia.,Der Dinge entspricht die neuzeitliche Justia.
ɛɾ bliːp jeːdɔx iːnɔfiːtsjɛl aɪn bərɑːtɜ dɛs pɾɛːziːdɛntən vaklɑːf hɑvəl,Er blieb jedoch inoffiziell ein Berater des Präsidenten Václav Havel.,Er blieb jedoch ihnenoffziell ein Berater des Präsidenten Wwaf Haley.
dɑːmɪt fɛɾloːɾ iːuːliːanʊs zaɪnən lɛtstən miːliːtɛːrɪʃən rykhalt ʊnt dɛɾ ziːk dɛs zeːfeːrʊs ʃtant fɛst,Damit verlor Iulianus seinen letzten militärischen Rückhalt und der Sieg des Severus stand fest.,Damit verläuft iullianus seinen letzten militärischen Rückhalt und der Sieg des Sefers stand fest.
fɛɾvaltʊŋsɪts vɑːɾ diː ʃtat veːm,Verwaltungssitz war die Stadt Wem.,Verwaltungssitz war die Stadt Wem.
fuːnafuːtiː ɪst diː haʊptstat fɔn tuːvaluː,Funafuti ist die Hauptstadt von Tuvalu.,Fujifilm ist die Hauptstadt von Tuvalu.
das haɪst nɪçt das viːɾ ʃtykvɛɾk pɾoːduːtsiːrən fiːlmeːɾ zɛtsən viːɾ aɪn pʊtslə tsuːzamən,"Das heißt nicht, dass wir Stückwerk produzieren, vielmehr setzen wir ein Puzzle zusammen.","Das heißt nicht, dass wir Stückwerk produzieren vielmehr setzen wir ein Putze zusammen."
kɾeːatiːviːtɛːt diː ʊntɜɡɾɑːbən vɪɾt ɪst tsʊm aʊsʃtɛɾbən fɛɾ??taɪltə kɾeːatiːviːtɛːt,"Kreativität, die untergraben wird, ist zum Aussterben verurteilte Kreativität.","Kriminalität, die Unternehmen wird, ist zum Ausdrücken verurteilte Kriminalität."
dɾɪtəns ʃtœst diː fɛɾnɪçtʊŋ fɔn ɛlfənbaɪn aʊf masiːvən viːdɜstant,Drittens stößt die Vernichtung von Elfenbein auf massiven Widerstand.,Drittens steht die Vernichtung von Elfenbein auf massiven Wiederstand.
ʃtatdɛsən liːf ɛɾ vaɪtɜ fyːɾ diː ɪndiːɑːns aʊf,Stattdessen lief er weiter für die Indians auf.,Stattdessen lief er weiter für die Indians auf.
iːrə famiːlɪə ɪst jyːdɪʃ ʊnt ziː vʊxs ɪn loːs anɡɛləs aʊf,Ihre Familie ist jüdisch und sie wuchs in Los Angeles auf.,Ihre Familie ist jüdisch und sie wuchs in Los Angeles auf.
zaɪn eːpoːs yːbɜ diː ɛːɡyptɪʃə ɛkspeːdiːtsjoːn ɪst niː fɛɾœfəntlɪçt vɔɾdən,Sein Epos über die ägyptische Expedition ist nie veröffentlicht worden.,Sein Epos über die ägyptische Expedition ist nie veröffentlicht worden.
anʃtɛlə dɛɾ fiːɾ tyɾmə diː baɪm lɛtstən bɾant tsɛɾʃtœɾt v??dən ɛɾrɪçtətə man diː bɑrɔkfasɑːdə,"Anstelle der vier Türme, die beim letzten Brand zerstört wurden, errichtete man die Barockfassade.","Anstelle der vier Türme, die beim letzten Brand zerstört wurden, errichtete man die Barokfassade."
duː fɛːɾst ɪç ʃiːsə,"Du fährst, ich schieße!",Du fährt ich schiebe.
kɑroːliːnə hɛɾf??t leːpt ɪn bɛɾliːn,Karoline Herfurth lebt in Berlin.,Caroline Herfurt lebt in Berlin.
ɡəʃtatən ziː miːɾ ɡants k??ts aʊf tsvaɪ vɪçtɪɡə teːmən aɪntsuːɡeːən,"Gestatten Sie mir, ganz kurz auf zwei wichtige Themen einzugehen.",Gestanden sie mir ganz kurz auf zwei wichtige Themen einzugehen.
lɔtɑːɾ fɪʃɜ vɑːɾ aɪnɜ dɛɾ bədɔøtəndstən dɔøtʃən bɪlthaʊɜ nɑːx deːm tsvaɪtən vɛltkɾiːk,Lothar Fischer war einer der bedeutendsten deutschen Bildhauer nach dem Zweiten Weltkrieg.,Letar Fischer war einer der bedeutendsten deutschen Bildhauer nach dem Zweiten Weltkrieg.
nɪçt ɪn alən vɑriːtɛːtən dɛs dɔøtʃən ɪst dɛɾ ɡlɔtɪsfɜʃlʊs ɡlaɪç hɔøfɪç,Nicht in allen Varitäten des Deutschen ist der Glottisverschluss gleich häufig.,Nicht in allen Varianten des Deutschen ist der Goldfischverschluss gleich häufig.
balt dɑːraʊf vɪɾd ɛɾ tsʊm kɾaftvɛɾk ɡəʃɪkt ʊm das dyːnamɪt dɔɾt antsuːbɾɪŋən,"Bald darauf wird er zum Kraftwerk geschickt, um das Dynamit dort anzubringen.","Bald darauf wird er zum Kriegswerk geschickt, um das Dummtum dort anzubringen."
haʊptzɛçlɪç vɛɾdən kaɾtɔfəln tsviːbəln kafeː ʊnt tsʊkɜroːɾ anɡəbaʊt,"Hauptsächlich werden Kartoffeln, Zwiebeln, Kaffee und Zuckerrohr angebaut.","Hauptsächlich werden Kartoffen, Zwiebeln, Kaffee und Zuckerrohr angebaut."
das ɪst nɪçt nuːɾ diː aʊfɡɑːbə dɛs paɾlamɛnts,Das ist nicht nur die Aufgabe des Parlaments.,Das ist nicht nur die Aufgabe des Parlaments.
diː aɾbaɪt dɛɾ ɡɾʊpə vɑːɾ ɛɾfɔlɡɾaɪç,Die Arbeit der Gruppe war erfolgreich.,Die Arbeit der Gruppe war erfolgreich.
tsɛntɾɑːlə teːoːloːɡɪʃə bəɡɾɪfə viː ʃʊlt oːdɜ ɡənɑːdə vɛɾdən baɪbeːaltən,Zentrale theologische Begriffe wie „Schuld“ oder „Gnade“ werden beibehalten.,Zentrale theologische Bestimmungen wie Schutz oder Geande werden beibehalten.
nuːɾ d??ç diː ʊmzɛtsʊŋ dɛɾ ɛntʃpɾɛçəndən hyːɡɪeːneːmasnɑːmən kœnən ʃɛːdɪɡʊŋən dɛs nɛçstən patsjɛntən fɛɾmiːdən vɛɾdən,Nur durch die Umsetzung der entsprechenden Hygienemaßnahmen können Schädigungen des nächsten Patienten vermieden werden.,Nur durch die Umsetzung der entsprechenden Hypogenesnahmen können Schädigungen des nächsten Patienten vermieden werden.
dɛɾ ɡəʃʊndənə boːtə hat ɛs viː ɪmɜ aɪlɪç,Der geschundene Bote hat es wie immer eilig.,Der gesunde Boote hat es wie immer ähnlich.
nɑːx iːrəm apʃlʊs ɡɾyndətə keːlɪs tsuːzamən mɪt deːn nɛptuːnəs aɪnə bant,Nach ihrem Abschluss gründete Kelis zusammen mit den Neptunes eine Band.,Nach ihrem Abschluss gründete Kelis zusammen mit den Nervuten eine Band.
danax v??dən alə zaɪnə matʃəs als fɛɾloːrən ɡəvɛɾtət,Danach wurden alle seine Matches als verloren gewertet.,Danach wurden alle seine matsches als Folgen gewertet.
dɛɾ dɾaɪtseːntə taɪl reːɡəlt diː rykɜstatʊŋ fɔn fɛɾzɔɾɡʊŋslaɪstʊŋən,Der dreizehnte Teil regelt die Rückerstattung von Versorgungsleistungen.,Der dreizehnte Teil regelt die Rückerstattung von Verordnungsleitungen.
diː haʊptstat dɛs deːpaɾtamɛntoː zaɾɡɛntoː kabɾɑːl ɪst koːloːniːɑː eːliːzɑː,Die Hauptstadt des Departamento Sargento Cabral ist Colonia Elisa.,Die Hauptstadt des Departemento Serrano Cadral ist Kolonia Elizabeth.
tɾɔtsdəm ɡəlaŋ iːm ɛɾnɔøt aɪn tiːtəlɡeːvɪn,Trotzdem gelang ihm erneut ein Titelgewinn.,Trotzdem gelang ihm erneut ein Titelgewin.
vaɪçəs ɡəʃtaɪn viː baɪʃpiːlsvaɪzə zantʃtaɪn kan baɪ aɪnəm ʃt??ts bɾɛçən,"Weiches Gestein, wie beispielsweise Sandstein, kann bei einem Sturz brechen.",Weißes Getriebe wie Beispielsweise Sandstein kann bei einem Sturz brechen.
ziː ʃpiːlən mɪçaeːl jakzoːn (en)sɒŋz(de) ɪm rɑdɪoː dɑː kan ɪç nɪçt ʃtɪlzɪtsən,"Sie spielen Michael Jackson Songs im Radio, da kann ich nicht stillsitzen.",Sie spielen Michael Jackson Songs im Radio da kann ich nicht stimmen.
ʃyçtɛɾnhaɪt hɪnɡeːɡən ɪst dɑːfɔn aptsuːɡɾɛntsən,Schüchternheit hingegen ist davon abzugrenzen.,Schätzung hingehen ist davon abzugrenzen.
ɡɾyndɜ dɛs (en)tiːmz(de) vɑːɾ juːjiː nɑkɑː,Gründer des Teams war Yuji Naka.,Grundlage des Teams war Jim Nakata.
fyɾçtət ɔøç nɪçt ʃpɾɑːx dɛɾ bɛŋəl ʊnt ɡɾɪf an,"Fürchtet euch nicht"", sprach der Bengel und griff an.",Fürchtet euch nicht sprach der Berg- und Griff an.
dɑːmɪt aɪnə nɛtsvɜkanɑːlyːzə møːklɪç ɪst vɛɾdən ɪn deːm nɛtsvɛɾk knoːtənpʊŋktə tsvaɪɡə ʊnt maʃən deːfiːniːɾt,"Damit eine Netzwerkanalyse möglich ist, werden in dem Netzwerk Knotenpunkte, Zweige und Maschen definiert.","Damit eine Netzerkalyse möglich ist, werden in dem Netzwerk Knotenpumpte zweige und Maschen definiert."
ziː hat ʃoːn viːdɜ aɪnən ʃtaɪn ɪm ʃuː,Sie hat schon wieder einen Stein im Schuh.,Sie hat schon wieder einen Stein im Schul.
diːzə mɛnʃən zɔltə man nɪçt aʊfhaltən,Diese Menschen sollte man nicht aufhalten.,Diese Menschen sollte man nicht aufhalten.
dɔɾt ɛɾʃiːnən alə zaɪnə koːmiːks als naxdɾʊkə ɪn fɛɾʃiːdənən fɔɾmɑːtən,Dort erschienen alle seine Comics als Nachdrucke in verschiedenen Formaten.,Dort erschienen alle seine Comics als Nachdrucke in verschiedenen Formen.
diː baɪdən bɛstən manʃaftən ʃtaɪɡən diːrɛkt ɪn diː kɑteːɡoːriːɑː zuːpeːrɪoːrə aʊf,Die beiden besten Mannschaften steigen direkt in die Kategoria Superiore auf.,Die beiden beiden Mannschaften steigen direkt in die Kategorie Superiere auf.
diː ʃtat liːkt an dɛɾ bɑːnstɾɛkə nɔødiːtɛndɔɾf rɪtʃənhaʊzən,Die Stadt liegt an der Bahnstrecke Neudietendorf–Ritschenhausen.,"Die Stadt liegt an der Bahnstrecke Neuengland, Rischenhausen."
diː ɡɾoːmadɑː v??də dɾaɪ jɑːrə dɑːraʊf viːdɜ aʊfɡəlœst,Die Gromada wurde drei Jahre darauf wieder aufgelöst.,Die Goma wurde drei Jahre darauf wieder aufgelöst.
