phonemes,ground_truth,prediction
ɕfʲɛtɲʲɛ sɔbjɛ pɔradʑiw ɲʲɛpravdaʃ pɨtawɛm z dʑɛtɕinnɔ̃ radɔɕtɕɔ̃,"Świetnie sobie poradził, nieprawdaż!? — pytałem z dziecinną radością.",Święto sobie poradził nieprawdaż pytałem z dzieciną radością.
tadɛk ma rɔvɛr tɔː i ja xtsɛ,"Tadek ma rower, to i ja chcę!",Tadek ma rower to i ja chce.
ɔbaj wadɲi i majɔ̃ takʲɛ tʃɛrvɔnɛ usta jaɡbɨ tɕɔŋɡlɛ ɕɛ tsawɔvali,"Obaj ładni i mają takie czerwone usta, jakby ciągle się całowali.","Obaj ładni i mają takie czerwone usta, jakby ciągle się całowali."
ɔpatʃɨliɕmɨ tɛʃ tɨmtʃasɛm sfɔjɛ na ʃtʃɛɲɕtɕɛ lɛkkʲɛ ranɨ i trɔxɛ vɨpɔtʃɛliɕmɨ,"Opatrzyliśmy też tymczasem swoje, na szczęście lekkie rany i trochę wypoczęliśmy.",Opatrzyliśmy też tymczasem swoje na szczęście lekkie rany i trochę wypoczeliśmy
tɔ pɛvɲʲɛ tɛn nɔvɨ sɔ̃ɕad z ɡurɨ,To pewnie ten nowy sąsiad z góry.,To pewnie ten nowy sąsiad z góry.
ɲʲɛ tɨlkɔ tɔ,Nie tylko to.,Nie tylko to.
ɲʲɛ ufaj tɛʃ pʲɛŋknɛj jasnɔvwɔsɛj ɔsɔbjɛ ktura xfilɔvɔ zdɔwawa tɕɛ ɔpɛntatɕ,"Nie ufaj też pięknej jasnowłosej osobie, która chwilowo zdołała cię opętać.","Nie ukaż też pięknej jasnowej osoby, która chwilowo zdołała cię opętać."
ɲits tɨlkɔ lut i ɕɲʲɛk,"Nic, tylko lód i śnieg.",Nic tylko ludź i śnieg.
ɔtxɨliwa ku mɲʲɛ ɡwɔvɛ,Odchyliła ku mnie głowę.,Odchyliła ku mnie głowę.
ɲʲɛznam tɛɡɔ pana,Nie znam tego pana.,Nie znam tego pana.
a tɔ mi ɕɛ pɔdɔba,A to mi się podoba!,A to mi się podoba.
masaʃ jɛst rɛlaksujɔntsɨ i zarazɛm lɛtʃɲitʃɨ,Masaż jest relaksujący i zarazem leczniczy.,Masz jest relaksujący i zarazem leczniczy.
pamjɛntaj ɔtɨm,Pamiętaj o tym.,Pamiętaj o tym
jak tɛʃ nas ftɛdɨ vɨdajɛ ɕɛ vʲɛlɛ,Jak też nas wtedy wydaje się wiele!,Jak też nas wtedy wydaje się wiele?
patsjɛnd z ɔbjavami ɡrɨpɨ trafiw dʑiɕaj dɔ naʃɛj pʃɨxɔdɲi,Pacjent z objawami grypy trafił dzisiaj do naszej przychodni.,Pacjent z objawiami grypy trafił dzisiaj do naszej przychodni.
pɔ vʒaskax i pwatʃu mɔtsnɔ jɛj ɕɛ spawɔ,Po wrzaskach i płaczu mocno jej się spało.,Po wżakach i płaczu mocno jej się spało.
aɲi ɲʲɛ pʃɨpuʃtʃa s kim jɛdʑɛ,"Ani nie przypuszcza, z kim jedzie.",Ani nie przypuszcza z kim jedzie.
tʃɛkawam na tɕɛbjɛ dɔʑdʑ dwuɡɔ ɕɔstrɔ,"Czekałam na ciebie dość długo, siostro.",Czekałam na ciebie dość długo siostro.
tɔ tsɔ zɔbatʃɨw pɔza ɕmʲɛʃnɔɕtɕɔ̃ jɛj pɔzɨtsji bɨwɔ dʑivnɛ i pɔɲʲɔswɔ ɡɔ,"To, co zobaczył, poza śmiesznością jej pozycji, było dziwne i poniosło go.","To, co zobaczył poza śmiesznością jej pozycji było dziwnie i poniosło go."
maʃ pravɔ zaxɔvatɕ miltʃɛɲʲɛ,Masz prawo zachować milczenie.,Masz prawo zachować milczenie.
xtɕawbɨm zaaktsɛntɔvatɕ tɛ kfɛstjɛ,Chciałbym zaakcentować tę kwestię.,Chciałbym zaakceptować tę kwestię
ɕada na pɲʲu patʃɨ na mrufki,"Siada na pniu, patrzy na mrówki.","Siada na pni, patrzy na mrugki."
nɔː i pʃɛstawɛm ɕɛ pɨtatɕ,No i przestałem się pytać.,No i przestałem się pytać.
tɔː ɔblitʃɛ starɛ pʃɛɔranɛ ɕɛtɕɔ̃ fawt i zaɡwɛmbjɛɲ jaɡbɨ dvɔiwɔ ɕɛ,"To oblicze stare, przeorane siecią fałd i zagłębień, jakby dwoiło się.","To oblicze stare przeorane siecią fałt i zagłębień, jakby dwoliło się."
mwɨnaʒ vɨtʃuvaw jɛʃtʃɛ pɔtɕɛʃajɔntsɨ uɕtɕizɡ dwɔɲi prɔbɔʃtʃa vidʑaw jɛɡɔ zasmutsɔnɛ spɔjʒɛɲʲɛ,"Młynarz wyczuwał jeszcze pocieszający uścisk dłoni proboszcza, widział jego zasmucone spojrzenie.","Młynarz wyczuwał jeszcze pocieszający uścisk dłoni, probosza widził jego zasmucone spojrzenie."
vwazitɕ f skurɛ innɨx,Włazić w skórę innych.,Włazić w skórę innych.
dʑiɕaj jɛm na kɔlatsjɛ sawatkɛ jaʒɨnɔvɔ̃,Dzisiaj jem na kolację sałatkę jarzynową.,Dzisiaj jem na lokację saładkę jażynową.
aɲi jɛɕtɕ aɲi utʃɨtɕ ɕɛ,"Ani jeść, ani uczyć się.","Ani jeść, ani uczyć się."
vɛʃliɕmɨ pʃɛs ɕɛɲ dɔː izbɨ na pravɔ,Weszliśmy przez sień do izby na prawo.,Weszliśmy przez sień do Izby na prawo
ɲits ɕɛ ɲʲɛ staɲʲɛ,Nic się nie stanie.,Nic się nie stanie.
tsɔ za zwudʑɛɲʲɛ,Co za złudzenie!,Co za złudzenie?
zrup listɛ zakupuf bɔ znɔvu ɔ tʃɨmʑ zapɔmɲimɨ,Zrób listę zakupów bo znowu o czymś zapomnimy.,"Zrób listę zakupów, bo znowu o czymś zapomnimy"
ɲʲɛvʲɛm ɔtpar bɛzradɲʲɛ,Nie wiem — odparł bezradnie.,Nie wiem odparł bezradnie.
ɲikt ɲits ɲʲɛ pɔradʑi,Nikt nic nie poradzi.,Nikt nic nie poradzi.
ɔbrɔntʃka vʲɛnts uvaruŋkɔvawa vizjɛ ɲʲɛbɔʃtʃɨka,Obrączka więc uwarunkowała wizję nieboszczyka.,Obrączka więc uwarunkowała wizję nieboszcza.
znamjɛnnɛ pɔwɔntʃɛɲʲɛ vizɛruŋkuf,Znamienne połączenie wizerunków!,Znamienne połączenie wizerów
ɕada na mɔim wuʃku i ɕɛdʑi,Siada na moim łóżku i siedzi.,Siada na moim łóżku i siedzi.
bɨwa za pʲɛŋkna bɨ ɲʲɛ pʃɨznatɕ jɛj ratsji,"Była za piękna, by nie przyznać jej racji.","Była za piękna, by nie przyznać jej roli."
jɛɕli naɕi kljɛɲtɕi dɔvʲɛdʑɔ̃ ɕɛ ʒɛ fspuwpratsujɛmɨ s takimi ludʑmi mɔɡɔ̃ vɨɲiknɔɲtɕ kwɔpɔtɨ,"Jeśli nasi klienci dowiedzą się, że współpracujemy z takimi ludźmi, mogą wyniknąć kłopoty.","Jeśli nasi kluczi dowiedzie się, że współpracujemy z takimi ludźmi mogą wyniknąć kłopoty"
zamkɲʲɛntɛ sɔ̃ bramɨ dɔmuf i zɡaʃɔnɛ ɕfʲatwa,Zamknięte są bramy domów i zgaszone światła.,zamknięte są bramy domów i zgaszone światła.
dvɔjɛ nartsɨzuf mʲɛndʑɨ sɔbɔ̃,Dwoje Narcyzów między sobą.,Dwoje naryszów między sobą.
bɛs namɨswu sxɔvawɛm kukwɛ dɔ vɛvnɛntʃnɛj kʲɛʃɛɲi ʒakʲɛtu,Bez namysłu schowałem kukłę do wewnętrznej kieszeni żakietu…,Bez namysłu schowałem kułę do wewnętrznej kieszeni żakietu.
ɡdɨ mʲawa lad dvanaɕtɕɛ nautʃɨwa ɕɛ ɡvizdatɕ,"Gdy miała lat dwanaście, nauczyła się gwizdać.","Gdy miała lat dwanaście, nauczyła się gwizdać."
ɔrɡaɲizatɔʒɨ starajɔ̃ ɕɛ pɔtkrɛɕlitɕ pʃɛdɛ fʃɨstkim ɕfʲɔntɛtʃnɔ̃ i rɔdʑinnɔ̃ atmɔsfɛrɛ,Organizatorzy starają się podkreślić przede wszystkim świąteczną i rodzinną atmosferę.,Organizatorów starają się podkreślić przede wszystkim świeątkową i rodzinną atmosferę
rɔspɔznaw w nɔtsɨ sfɔjɛ mʲɛʃkaɲʲɛ idɔndʑ bɔsɔ vzdwuʃ kɔrɨtaʒa f strɔnɛ krulikuf,"Rozpoznał w nocy swoje mieszkanie, idąc boso wzdłuż korytarza, w stronę królików.","Rozpoznał w nocy swoje mieszkanie, idąc bosko wzdłuż korytarza w stronę królika."
dlatɛɡɔ tɛʒ zarɛntʃaw ʒɛ jɛj xɔrɛj mattsɛ ɲʲɛ zabrakɲʲɛ ɲitʃɛɡɔ,"Dlatego też zaręczał, że jej chorej matce nie zabraknie niczego.","Dlatego też zarozumiał, że jej trochej Mattce nie zabraknie niczego."
ftɛdɨ na dɔbrɛ zamilkwa,Wtedy na dobre zamilkła.,Wtedy na dobre zamilkła.
pravdɔpɔdɔbjɛɲstfɔ tʃɛ̃stɔ jɛst ɲʲɛintuitsɨjnɛ,Prawdopodobieństwo często jest nieintuicyjne.,Prawdopodobeństwo często jest nieintuicyjne
a nuʃ pɔkrfavi sxlɛbʲiw sɔbjɛ tʃupurɲʲɛ pɔdlaɕak,A nuż pokrwawi! — schlebił sobie czupurnie Podlasiak.,"A nuż pograwi, schylił sobie czuurnie polasiak."
sɔ̃ tɔ ʒɛtʃɨ zupɛwɲʲɛ ɲʲɛfspuwmʲɛrnɛ,Są to rzeczy zupełnie niewspółmierne.,Są to rzeczy zupełnie nie współmierne
kɔpnɔw ɔɡɲiskɔː aʃ skrɨ pɔsɨpawɨ ɕɛ vɔkuw,"Kopnął ognisko, aż skry posypały się wokół.","Kopnął ognisko, aż szy posypały się wokół."
jakɔ ɲʲɛkɔmpɛtɛntnɨ f spravax xɔrup pwudʑ dawɛm jɛ dɔː ɔbɛjʒɛɲʲa dɔtsɛntɔvi ɛf,"Jako niekompetentny w sprawach chorób płuc, dałem je do obejrzenia docentowi F.",Jako niekompletny w sprawach chorób pływać dałem je do obejrzenia dotcomowi Ew
vidʑiʃ mɲʲɛ tak pɔtʃɛbnɨ stsɨzɔrɨk a tɔbjɛ na ɲits,"Widzisz, mnie tak potrzebny scyzoryk, a tobie na nic.","Widzisz mnie tak potrzebny Scottyzrok, a tobie na nic."
ɛmil pɔprɔɕiw ɔ dva fartuxɨ i pɔvʲɛdʑaw dɔː ɛvɨ mɔɡwabɨʑ zɔstatɕ ɕɔstrɔ̃,Emil poprosił o dwa fartuchy i powiedział do Ewy: — Mogłabyś zostać siostrą.,Emil poprosił o dwa fartuchy i powiedział do Ewy mogłaby zostać siostraną.
na pamjɔntkɛ pɔtfʲɛrdʑiwa dʑivɔʒɔna spuʃtʃajɔnts ɔtʃɨ,"Na pamiątkę — potwierdziła dziwożona, spuszczając oczy.","Na pamiątkę potwierdziła dziwożona, spójcząc oczy."
xtsɛ,Chcę.,Chcę.
mɔʒɛ ɔn mɔʒɛ ɔn vwaɕɲʲɛ,Może on… może on właśnie…,Może on może on właśnie?
pɔkɔrɲʲɛ panu prɔfɛsɔrɔvi dʑɛŋkujɛ,Pokornie panu profesorowi dziękuję.,Pokornie panu prezydenowi dziękuję
pɔɛtɔ vitam tɕɛ waskavʲɛ,"Poeto, witam cię łaskawie!",Poto wam cię łaskawie.
mʲɛli tʃɛrvɔnɛ uʃɨ i bɨli ɲʲɛ bardʑɔ pʃɨtɔmɲi,Mieli czerwone uszy i byli nie bardzo przytomni.,Mieli czerwone oczy i byli nie bardzo przytomni.
ɲʲɛma tɔ jaɡ vɛ vwasnɨm dɔmu,"Nie ma to, jak we własnym domu.",Nie ma to jak we własnym domu.
miltʃɔnts pɔbjɛɡli vɛ fskazanɨm kʲɛruŋku,"Milcząc, pobiegli we wskazanym kierunku.",Milcząc pobiegli we wskazanym kierunku
tɔ bɨw ʃɨpki alɛ na pɛvnɔ pʃɛmɨɕlanɨ i rɔssɔndnɨ vɨbur,"To był szybki, ale na pewno przemyślany i rozsądny wybór.","To był szybki, ale na pewno przemyślany i rozsądny wybór."
zdavawɔ ɕɛ ʒɛ ʒɛtʃɨvistɔɕtɕi ɲʲɛma,"Zdawało się, że rzeczywistości nie ma.","Zdawało się, że rzeczywistości nie ma"
matka rɔbʲi mu ɔkwadɨ i tɕɛpwɔ̃ kɔmpʲɛl,Matka robi mu okłady i ciepłą kąpiel.,Matka robi mu okłady i ciemną kopiel.
nɔ ɡɔspɔdaʒ vwaɕtɕitɕɛl tɛj zaɡrɔdɨ,"No — gospodarz, właściciel tej zagrody.","No, gospodarz, właściciel tej zagrozy."
swɔvɔ dajɛ pʃɨnajmɲʲɛj dɔbʒɛ ʒɛm tɕɛbjɛ spɔtkaw,"Słowo daję, przynajmniej dobrze, żem ciebie spotkał.","Słowo daję przynajmniej dobrze, żem ciebie spotkał."
mɔʒɛ tɔ jaka mistɨfikatsja,Może to jaka mistyfikacja?,Może to jaka zmiana?
vʲɛndʑ barɔn mʲaw pɔɲʲɛkɔnt ratsjɛ pʃɨxɔdʑɔndʑ dɔ tɕɛbjɛ zɛ swɔvɛm pʃɛbatʃɛɲʲa,"Więc baron miał poniekąd rację, przychodząc do ciebie ze słowem przebaczenia?",Więc Baron miał poniekąd rację przychodząc do ciebie ze słowem przebaczenia.
na jutʃɛjʃɨm kɔlɔkfʲum bɛɲdʑɛ pʲɛɲtɕ pɨtaɲ ɔtfartɨx i tɛzd vʲɛlɔkrɔtnɛɡɔ vɨbɔru,Na jutrzejszym kolokwium będzie pięć pytań otwartych i test wielokrotnego wyboru.,Na juższym kolegium będzie pięć pytań otwartych i jest wielokrotnego wyboru
vɨɕɛdliɕmɨ i pʃɛkrɔtʃɨfʃɨ bramɛ ɔpatstfa ɔɔ fraɲtɕiʃkanuv vɛʃliɕmɨ f kruʒɡanɛk,"Wysiedliśmy i przekroczywszy bramę opactwa oo. Franciszkanów, weszliśmy w krużganek.",Wysiedliliśmy i przekroczywszy bramę opatstwa o franciszkanów weszliśmy w krużgarek.
pɔ zamkɲʲɛɲtɕu pɔɡadaŋki zbliʒɨw ɕɛ dɔ mɲʲɛ pʲɛrʃɨ i pʃɛtstaviw ɕɛ,Po zamknięciu pogadanki zbliżył się do mnie pierwszy i przedstawił się.,Po zamknięciu pogadanki zbliżył się do mnie pierwszy i przedstawił się.
fʃɨstkʲɛ innɛ maʃɨŋki kturɛ vɨprubɔvawɛm sɔ̃ vɔbɛts ɲʲɛɡɔ ɲitʃɨm,"Wszystkie inne maszynki, które wypróbowałem, są wobec niego niczym.","Wszystkie inne maszynki, które wypróbowałem są wobec niego niczym."
zatʃɔw ɕɛ vʲɛlki ʒɨvʲɔwɔvɨ strajk kravʲɛtski,"Zaczął się wielki, żywiołowy strajk krawiecki.",Zaczął się wielki żywiołowy strajk krawędziski.
ɔbraʒawa ɕɛ dʑɛɕɛɲtɕ razɨ na dʑɛɲ,Obrażała się dziesięć razy na dzień.,Obrażała się dziesięć razy na dzień.
pʃɛtɕɛ pʃɨjɛmɲʲɛ ɕɛ vɨprubɔvatɕ albɔ pɔkazadʑ ʒɛ ɕɛ ɲʲɛ bɔjɛ,"Przecie przyjemnie się wypróbować albo pokazać, że się nie boję.","Przedcie przyjemnie się wypróbować albo pokazać, że się nie boję."
ʒɛbɨm mʲaw pʲɛɲʲɔndʑɛ tɔbɨm mu mlɛka kupiw,"Żebym miał pieniądze, tobym mu mleka kupił.","Żebym miał pieniędzy, tobym mu młoda kupił."
i tuliw ɡwɔvɛ dɔ jɛj kɔlan f pɔkɔʒɛ uvʲɛlbjɛɲʲa,I tulił głowę do jej kolan w pokorze uwielbienia…,I tulił głowę do jej kolan w pokojze uwolnienia.
zɡrɨʑlivɨ i ɲʲɛustɛmplivɨ kulavʲɛts naʒɛkaw vuftʃas na fɕtɕupskɔ̃,Zgryźliwy i nieustępliwy kulawiec narzekał wówczas na wściubską,Zgrzysliwy i nieustępliwy kulawiec narzekł wówczas na wściepką.
bɨw naɡʲi,Był nagi.,Był nagi.
tak ɲʲɛspɔdʑaɲʲɛ taɡ zɲʲɛnatska jaɡ bɨva ɲʲɛraz zɛ ʃtʃɛɲɕtɕɛm lup ɕmʲɛrtɕɔ̃,"Tak niespodzianie, tak znienacka, jak bywa nieraz ze szczęściem lub śmiercią.","Tak niespodzianie tak znienaska, jak bywa nieraz ze szczęściem lub śmiercią."
alɛ z ɲim sɨpʲaʃ tsɔ,"Ale z nim sypiasz, co?",Ale z nim sypisz co?
bɨwɔ tɔ zaruvnɔ dɔbrɛ dla ɲʲɛj jaɡ zbavʲɛnnɛ dla ɲʲɛɡɔ,"Było to zarówno dobre dla niej, jak zbawienne dla niego.","Było to zarówno dobre dla niej, jak zbawienne dla niego."
zmɛntʃɛɲʲɛ pɔ tʃɛx sɛansax pɔrtrɛtɔvɨɣ zɲiknɛwɔ zupɛwɲʲɛ,Zmęczenie po trzech seansach portretowych zniknęło zupełnie.,Zmęczenie po trzech sekundach prywatnych zniknęło zupełnie.
najpʲɛrv zauvaʒɨwɛm kɔlbɛ karabʲinu ukrɨtɛɡɔ na wuʃku pɔt stɔsɛm pɔduʃɛk,"Najpierw zauważyłem kolbę karabinu, ukrytego na łóżku pod stosem poduszek.",Najpierw zauważyłem kolbę karabiniu ukrytego na łóżku pod stolem poduszek.
skwɔɲiwa ɡwɔvɛ na znaɡ zɡɔdɨ,Skłoniła głowę na znak zgody.,Skłoniała głowę na znak zgody.
ftɕɔ̃ʃ ludʑɛ vɨɕadajɔ̃ pʃɛd zamkʲɛm z mʲasta s praɡʲi,"Wciąż ludzie wysiadają przed zamkiem, z miasta, z Pragi.",Wciąż ludzie wysiadają przed zamkiem z miasta z Pragi.
na ɕɲʲɛɡu spɔstʃɛɡliɕmɨ duʒɛ plamɨ tʃɛrvɔnɛj rdʑavɛj vɔdɨ,"Na śniegu spostrzegliśmy duże plamy czerwonej, rdzawej wody.",Na śniegu spostrzegliśmy duże plamy czerwonej rdzawej wody.
xaɛm xʃɔŋknɔwɛm mʲɛliɕtɕɛ ɕɛ zɛjɕtɕ na mɔɕtɕɛ ʑvʲɛntɨ flɔrjana,Hm… — chrząknąłem — mieliście się zejść na moście Św. Floriana.,Haiem chęknąłem mieliście się zejść na mieście źwięky florana.
ɲikt ɲʲɛvʲɛ i ɔtɔ xɔdʑi,Nikt nie wie i o to chodzi.,Nikt nie wie i o to chodzi.
tak ɔt jutra ɔt jutra trudnɔ,"Tak, od jutra, od jutra — trudno.",Tak od jutra od jutra trudno.
ftʃɔraj lat ʃɛʑdʑɛɕɔnt jutrɔ dvadʑɛɕtɕa ɲʲɛ,"Wczoraj lat sześćdziesiąt — jutro dwadzieścia, nie!",Wczoraj lat sześćdziesiąt jutro dwadzieścia nie.
ɡdʑɛ jɛstɛm uswɨʃawɛm pɨtaɲʲɛ ʒutsɔnɛ mʲɛndʑɨ marmurɔvɛ tʃɔnɨ,"Gdzie jestem? — usłyszałem pytanie, rzucone między marmurowe trzony.",Gdzie jestem usłyszałem pytanie rzucone między marmurowe cząny?
nalɛʒɨ tɛ spɔsɔbɨ rɔzumɔvaɲʲa ɔdruʒɲitɕ ɔd dɛduktsji naukɔvɛj,Należy te sposoby rozumowania odróżnić od dedukcji naukowej,Należy te sposoby rozumowania odróżnić od edukacji naukowej
dla mɲʲɛ zmʲɛɲiwa ɕfʲat tsawɨ,Dla mnie zmieniła świat cały.,Dla mnie zmieniła świat cały.
ɛmil pwɨɲʲɛ pɔvɔli pɔ vwasnɨɣ zdaɲʲax,Emil płynie powoli po własnych zdaniach.,Emil płynie powoli po własnych zdaniech.
pɔ prɔstu tɔ ɲʲɛ bɨwɔ vaʒnɛ,Po prostu to nie było ważne.,Po prostu to nie było ważne
tak jaɡbɨ ix w ɔɡulɛ ɲʲɛ swɨʃawa,"Tak, jakby ich w ogóle nie słyszała.",Tak jakby ich w ogóle nie słyszała.
ɲʲɛ brɔɲiwa miltʃɔnts,"Nie broniła, milcząc.",Nie broniła milcząc.
mam nadʑɛjɛ ʒɛ naʃa sɨtuatsja jɛst tam lɛpʃa,"Mam nadzieję, że nasza sytuacja jest tam lepsza","Mam nadzieję, że nasza sytuacja jest tam lepsza"
tɨ tu zapɨtaw mizdʒ zdumjɔnɨ,Ty tu? — zapytał mistrz zdumiony.,Ty tu zapytał Mistrz zdumiony.
ɔjtɕɛts ɲits ɔtɨm ɲʲɛvʲɛ jɛʃtʃɛ,Ojciec nic o tym nie wie jeszcze.,Ojciec nic o tym nie wie jeszcze.
kaʃtan zatʃɔw z vɔlna vɨdʑɛlatɕ sfuj nɔtsnɨ zapax,Kasztan zaczął z wolna wydzielać swój nocny zapach.,Kasztan zaczął z wolna wydzielać swój nocny zapach.
kulavʲɛdʑ bɨw pɔɕadatʃɛm tɔrbɨ kusɛj i pwɨtkʲɛj alɛ upxanɛj dɔstatɲʲɔː i pɛŋkatɛj jak kɔbza,"Kulawiec był posiadaczem torby kusej i płytkiej, ale upchanej dostatnio i pękatej jak kobza.","Kulawić był posiadaczem tortury kudnej i płytkiej, ale upchanej dostanie i pękatej jak kobieta."
alɛ ktuʃ tɔ vɨkɔna,Ale któż to wykona.,Ale którż to wykona?
ʒɛbɨ xtɕawa vʑɔɲtɕ,Żeby chciała wziąć.,Żeby chciała wziąć.
ɔptɕɔɲtɕ mu rɛntsɛ i nɔɡʲi,Obciąć mu ręce i nogi.,Oprócić mu ręce i nogi.
tʃɨ mɨɕli tu nas tʃɨmatɕ tsawɨ rɔk,Czy myśli tu nas trzymać cały rok.,Czy myśli tu nas trzymać cały rok?
pɔdlaɕakuv dvuɣ znawɛm a ʒɛɡnajtɨ aɲi jɛdnɛɡɔ pʃɨpɔmɲʲaw sɔbjɛ naɡlɛ jɛdnɔrɛŋki,"Podlasiaków dwóch znałem, a Żegnajty ani jednego — przypomniał sobie nagle jednoręki.","Podaślaków dwóch znałem, a rzekny ani jednego przypomniał sobie nagle jednoręki."
tsɛzarɨ juʃ ɲits ɲʲɛ vidʑaw,Cezary już nic nie widział.,Cezary już nic nie widział.
vwaɕtɕivʲɛ ɲʲɛ bɨwɔ mu ʑlɛ alɛ tɕasnɔ,Właściwie nie było mu źle — ale ciasno.,"Właściwie nie było mu źle, ale czasno."
jaɡ ɡdɨbɨ ɲiɡdɨ ɲits,Jak gdyby nigdy nic.,Jak gdyby nigdy nic?
jɛɕli zatʃnɔ̃ dɔkazɨvatɕ ɲʲɛ pɔɲʲɔsɛ fspulnɛj ɔtpɔvʲɛdʑalnɔɕtɕi,"Jeśli zaczną dokazywać, nie poniosę wspólnej odpowiedzialności.",Jeśli zaczną dokazywać nie powodę wspólnej odpowiedzialności
w nɔtsɨ mʲaw sɛn,W nocy miał sen.,W nocy miał sen.
ɲʲɛ pɔmɨɕlɔ̃ ʒɛ tʃwɔvʲɛkɔvi pʃɨkrɔː i bɔi ɕɛ ʒɛ paɲʲɔ̃ rɔzɡɲʲɛvajɔ̃,"Nie pomyślą, że człowiekowi przykro i boi się, że panią rozgniewają.","Nie pomyślą, że człowiekowi przykro i boi się, że panią rozglądają"
vʲɛlki pisaʃ,Wielki Pisarz.,Wielki Pisasz.
